Exam1,Exam2,Exam3,Exam4,Exam5,Pass
0.87,0.69,0.77,0.60,0.47,1
0.86,0.93,0.93,0.91,0.81,1
0.86,1.00,0.96,1.00,0.87,1
0.86,1.00,0.94,1.00,1.00,1
0.86,1.00,0.87,0.96,1.00,1
0.86,0.92,0.73,0.66,0.60,1
0.86,0.91,0.96,0.91,0.81,1
0.86,0.91,0.70,0.93,0.75,1
0.85,1.00,0.95,0.99,0.93,1
0.85,0.92,0.74,0.82,0.88,1
0.85,0.84,0.84,0.93,0.65,1
0.85,0.81,0.90,0.94,0.81,1
0.84,0.86,0.88,0.69,0.80,1
0.84,0.92,0.71,0.65,0.59,1
0.84,0.83,0.79,0.83,0.86,1
0.84,0.60,0.60,0.76,0.72,1
0.83,0.99,1.00,NA,0.99,1
0.83,0.98,0.99,0.94,0.74,1
0.83,0.81,0.63,0.62,0.74,1
0.83,0.96,0.87,0.94,0.85,1
0.83,0.90,0.83,0.93,0.93,1
0.83,0.86,0.88,0.92,0.89,1
0.83,0.80,0.92,0.76,0.86,1
0.81,0.91,0.88,0.63,0.63,1
0.80,0.87,0.69,0.67,0.53,1
0.79,0.85,0.87,0.88,0.64,1
0.78,0.87,0.77,0.82,0.75,1
0.78,0.77,0.70,0.84,0.65,1
0.77,0.73,0.65,0.71,0.75,1
0.76,0.85,0.86,0.99,0.87,1
0.75,0.87,0.79,0.91,0.84,1
0.73,0.91,0.85,0.89,0.70,1
0.73,0.89,0.95,NA,0.87,1
0.71,1.00,0.80,1.00,0.94,1
0.71,1.00,0.79,0.80,0.80,1
0.71,1.00,0.76,0.83,0.71,1
0.70,0.95,0.88,0.86,0.94,1
0.69,0.85,0.85,0.98,0.74,1
0.69,1.00,0.93,0.94,0.76,1
0.68,0.98,0.80,0.86,0.92,1
0.67,0.95,0.83,0.72,0.96,1
0.65,0.69,0.97,0.87,0.91,1
0.63,0.97,0.81,0.92,0.75,1
0.63,0.94,0.95,1.00,0.97,1
0.61,0.88,0.97,0.91,0.90,1
0.60,0.77,0.88,0.98,0.99,1
0.57,1.00,0.90,0.98,0.92,1
0.48,0.73,0.95,0.94,0.82,1
0.45,0.97,0.84,0.92,0.83,1
0.44,0.96,0.99,0.99,1.00,1
0.43,0.82,0.97,1.00,0.99,1
NA,0.99,1.00,0.99,0.99,1
NA,0.85,0.75,0.65,0.63,1
